Test_label,optimizer,weight_initialization,epochs,batch_size,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
optimizer_rmsprop_weight_initialization_glorot_uniform_epochs_1_batch_size_256,rmsprop,glorot_uniform,1,256,0.675912751064,0.0504663274945,0.728987870954,0.0583418123815,0.69427501696,0.0295907310118
optimizer_rmsprop_weight_initialization_glorot_uniform_epochs_1_batch_size_1024,rmsprop,glorot_uniform,1,1024,0.708612074506,0.000930608021788,0.798679462093,0.00810536560224,0.695488672398,0.00742829462464
optimizer_rmsprop_weight_initialization_uniform_epochs_1_batch_size_256,rmsprop,uniform,1,256,0.674297350154,0.0520230676434,0.741701554987,0.0735050758405,0.677995060104,0.0158749255986
optimizer_rmsprop_weight_initialization_uniform_epochs_1_batch_size_1024,rmsprop,uniform,1,1024,0.600612872872,0.0124680138074,0.710843208856,0.0300478964369,0.647511979073,0.0209937566668
optimizer_rmsprop_weight_initialization_glorot_normal_epochs_1_batch_size_256,rmsprop,glorot_normal,1,256,0.714419643804,0.0290043325286,0.782381427904,0.0292786389304,0.715182153778,0.00291101798012
optimizer_rmsprop_weight_initialization_glorot_normal_epochs_1_batch_size_1024,rmsprop,glorot_normal,1,1024,0.677474837857,0.0576680373739,0.733681830662,0.0686014905624,0.683719699832,0.0231895935601
optimizer_adam_weight_initialization_glorot_uniform_epochs_1_batch_size_256,adam,glorot_uniform,1,256,0.728358108635,0.00610298853364,0.818674355293,0.00596676068525,0.698397874876,0.00967785599616
optimizer_adam_weight_initialization_glorot_uniform_epochs_1_batch_size_1024,adam,glorot_uniform,1,1024,0.71813266178,0.00781802689077,0.802396796282,0.00672019178901,0.692599484937,0.00179299290163
optimizer_adam_weight_initialization_uniform_epochs_1_batch_size_256,adam,uniform,1,256,0.666938015005,0.0512888949159,0.784504148796,0.0082715967212,0.672578866929,0.0268952752948
optimizer_adam_weight_initialization_uniform_epochs_1_batch_size_1024,adam,uniform,1,1024,0.638543372706,0.0305521892313,0.722106055951,0.061805764052,0.656784186252,0.0086834237974
optimizer_adam_weight_initialization_glorot_normal_epochs_1_batch_size_256,adam,glorot_normal,1,256,0.751407841261,0.00362112173742,0.802542955505,0.00457441213171,0.729774477714,0.00804911583741
optimizer_adam_weight_initialization_glorot_normal_epochs_1_batch_size_1024,adam,glorot_normal,1,1024,0.689248027496,0.0495264736243,0.78829795911,0.0195224373582,0.690816807287,0.0204626983735
optimizer_sgd_weight_initialization_glorot_uniform_epochs_1_batch_size_256,sgd,glorot_uniform,1,256,0.682106916098,0.0587710801172,0.741642917387,0.0667305532294,0.687867699577,0.0251476707246
optimizer_sgd_weight_initialization_glorot_uniform_epochs_1_batch_size_1024,sgd,glorot_uniform,1,1024,0.737999931468,0.00909588740687,0.800648056631,0.00168921592312,0.714759589783,0.0133963603529
optimizer_sgd_weight_initialization_uniform_epochs_1_batch_size_256,sgd,uniform,1,256,0.712463050898,0.00756350461701,0.820430965385,0.00112568563833,0.678668705897,0.00756962896236
optimizer_sgd_weight_initialization_uniform_epochs_1_batch_size_1024,sgd,uniform,1,1024,0.625011490999,0.0695131302512,0.75866570334,0.0358809435361,0.667546137559,0.017508771746
optimizer_sgd_weight_initialization_glorot_normal_epochs_1_batch_size_256,sgd,glorot_normal,1,256,0.743821365397,0.00838117220834,0.789512757731,0.00402021228261,0.731863424994,0.0105902813415
optimizer_sgd_weight_initialization_glorot_normal_epochs_1_batch_size_1024,sgd,glorot_normal,1,1024,0.670036864767,0.0537361314915,0.742617723464,0.0756053016339,0.674441053496,0.0175757697392
